2018-07-17 13:49:29 parsl.dataflow.dflow:71 [INFO]  Parsl version: 0.5.1
2018-07-17 13:49:29 parsl.dataflow.dflow:72 [INFO]  Libsubmit version: 0.5.0-a0
2018-07-17 13:49:29 parsl.dataflow.usage_tracking.usage:125 [DEBUG]  Tracking status: True
2018-07-17 13:49:29 parsl.dataflow.usage_tracking.usage:126 [DEBUG]  Testing mode   : False
2018-07-17 13:49:29 parsl.dataflow.memoization:52 [INFO]  App caching initialized
2018-07-17 13:49:29 parsl.executors.ipp_controller:83 [DEBUG]  Starting ipcontroller with 'ipcontroller --ipython-dir=/scratch/midway2/madduru/parsl/parsl/tests/integration/test_stress/runinfo/1158 --ip=* --profile=midway_ipp   '
2018-07-17 13:49:30 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:8 Parallelism:0.5
2018-07-17 13:49:30 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:512 Parallelism:0.5
2018-07-17 13:49:30 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:64 Parallelism:0.5
2018-07-17 13:49:30 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:128 Parallelism:0.5
2018-07-17 13:49:30 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:2 Parallelism:0.5
2018-07-17 13:49:30 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:8 Parallelism:0.5
2018-07-17 13:49:30 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:32 Parallelism:0.5
2018-07-17 13:49:30 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:2 Parallelism:0.5
2018-07-17 13:49:30 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:30 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:30 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:30 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:31 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:1 Parallelism:0.5
2018-07-17 13:49:31 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:31 parsl.executors.ipp_controller:142 [DEBUG]  Controller exited with 0
2018-07-17 13:49:31 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:31 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:31 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:31 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:31 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:31 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:31 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:31 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:31 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:31 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:31 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:31 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:31 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:31 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:31 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:31 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:32 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:64 Parallelism:0.5
2018-07-17 13:49:32 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:4 Parallelism:0.5
2018-07-17 13:49:32 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:16 Parallelism:0.5
2018-07-17 13:49:32 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:256 Parallelism:0.5
2018-07-17 13:49:32 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:32 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:32 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:32 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:32 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:32 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:32 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:32 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:32 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:32 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:1 Parallelism:0.5
2018-07-17 13:49:32 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:32 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:32 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:4 Parallelism:0.5
2018-07-17 13:49:32 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:32 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:32 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:32 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:32 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:32 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:32 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:33 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:33 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:33 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:33 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:33 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:33 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:33 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:33 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:33 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:33 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:33 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:33 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:33 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:33 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:33 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:33 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:33 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:33 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:33 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:33 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:33 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:33 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:33 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:33 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:33 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:33 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:33 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:33 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:33 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:33 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:33 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:33 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:33 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:33 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:33 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:33 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:33 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:33 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:33 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:33 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:33 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:33 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:33 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:33 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:33 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:33 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:33 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:33 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:33 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:33 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:34 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:34 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:34 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:34 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:34 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:34 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:34 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:34 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:34 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:34 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:34 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:34 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:34 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:34 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:34 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:34 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:34 parsl.dataflow.dflow:576 [INFO]  End of summary
2018-07-17 13:49:34 parsl.dataflow.dflow:615 [INFO]  Terminating flow_control and strategy threads
2018-07-17 13:49:34 parsl.dataflow.strategy:175 [DEBUG]  Tasks:0 Slots:2 Parallelism:0.5
2018-07-17 13:49:34 parsl.executors.ipp:282 [DEBUG]  IPP:Shutdown sequence: Attempting controller kill
2018-07-17 13:49:34 parsl.executors.ipp_controller:147 [WARNING]  Failed to kill the ipcontroller process[31539]: [Errno 3] No such process
2018-07-17 13:49:34 parsl.executors.ipp:292 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:34 parsl.data_provider.data_manager:66 [DEBUG]  Done with executor shutdown
2018-07-17 13:49:34 parsl.dataflow.dflow:625 [INFO]  DFK cleanup complete
2018-07-17 13:49:34 parsl.dataflow.dflow:591 [INFO]  DFK cleanup initiated
2018-07-17 13:49:34 parsl.dataflow.dflow:538 [INFO]  Summary of tasks in DFK:
2018-07-17 13:49:34 parsl.dataflow.dflow:576 [INFO]  End of summary
